发布时间,问题,回答
1293084652,你最希望在知乎看到谁来回答问题？,<ul><li>李楠（newkhonsou@twitter）<br></li><li>阮一峰<br></li><li>刘未鹏<br></li><li>侯捷</li></ul>
1293095535,簡體和繁體標籤在知乎是否被視為同一個標籤？, 是两个标签。使用简体中文进行搜索时，有可能会搜不到繁体中文书写的标签和问题。 
1293099106,在知乎可以使用繁体中文吗？, 暂时不推荐在话题上使用繁体中文，我们现在并没有对一个话题的繁体和简体版本做自动合并，或者是别名转向。 
1293116669,如何让心智变强大？,<ul><li>做自己<br></li><li>不走捷径<br></li><li>任何时候都追求真实<br></li><li>不纠结事情的对与错</li></ul>
1293169670,知乎应该限制版聊吗？为什么？, 知乎不鼓励版聊，这会导致问题页的回答质量下降。<br><br>如果非常想「版聊」，可以使用评论功能，所有的评论内容（包括问题的评论和回答的评论）默认是处于折叠状态的，不会影响主体问答内容的阅读。 
1293171246,我们可以从 Google Wave 的失败中学习到什么？,<ul><li>产品需要去解决真实存在的问题，解决不存在的问题的产品注定失败。<br></li><li>产品不应该过于炫技，让产品好用同时又能提高用户体验，靠的是对用户真实需求的理解，而不是使用了多少酷炫技术。<br></li><li>大公司做不好所有的事情，即使是 Google。<br></li><li>只有一家在玩的产品很危险。<br></li></ul>
1293173819,至今没有成功过的创业想法/点子有哪些？,<ol><li>个性化新闻阅读的工具，例如 Netvibes （2006 年融资 1500 万美元）。<br></li><li>自动化搜索引擎优化，搜索引擎的算法是一个看不清内部结构的黑箱子，要做到这一点不可能。<br></li><li>健康的快餐。</li></ol>
1293184539,Ninjump 如何打出高分？, Ninjump 是一个控制节奏感的游戏，把握好节奏就能得高分，画面中突然出现的飞檐，向下跑的忍者（速度比其它敌人更快，更意外）都是为了打乱这个节奏。<br><br>有三个方法可以控制好这个节奏：<br><br><b>视线尽量向上看</b><br><b></b><br>我以前做过播音员，保证文章朗读流畅的一个小技巧是，让视线向后看，可以预读一部分文字，玩 Ninjump 的时候，向上看，视线更宽阔，更有整体感。这个原理类似于 CD 播放机 10 秒预读防抖动功能。<br><br><b>不追求三连杀</b><br><br>Ninjump 的一个乐趣是连续击中三个同样的敌人，忍者会进入无敌模式。但很多时候，失足掉落的原因也是过度追求三连杀。<br><br><b>别看当前分数</b><br><br>一旦发现此刻的分数已经超过 2 万，人会紧张，手会抖。所以不要看分数，刚刚开始时的心态是最好的。 
发布时间,问题,回答
1293212170,如果有人对我的回答做了评论，系统不会通知我？, 这种情况系统是会发通知的，如果没有发，就是漏发通知的 bug 了。 
1293273907,为什么早期知乎中的默认头像是一个很痛苦的表情？, 没有特别的原因，是王电轻在开发过程中随意选用的。你可以理解为有一枚头像正等着你来把它设置好，不来它就一直很痛苦。 
1293274403,知乎是否允许、鼓励用户在问答过程中留下具体的通讯和联络方式？, 知乎不允许发布广告贴，同时我们将会完善内容保证机制，降低低质量内容，恶意内容的出现频率和留存时间。<br><br>另外，具体的通讯方式即使留下也不是很好的传播方式，在用户级沟通上，我们有新功能的考虑。 
1293285042,知乎上有哪些领域的专家级人物？,<ul><li>张亮：新锐的投资经理甲，他还写过最棒的关于苹果公司和谷歌中国的文章。<br></li><li>黄继新：新锐的投资经理乙，他还写过最棒的关于微软公司的文章。<br></li><li>王兴：创业作品一次比一次成功。<br></li><li>Lawrence Li：对文字，设计有深刻的理解。<br></li><li>刘昕（Livid）：V2EX 的设计者。</li><li>Hi-iD：[ i D 公社 ] 创始人。</li></ul>
1293300416,知乎和维基百科有什么区别？," 知乎的目标是帮助来此寻找答案的人得到的不仅是事实陈述 （facts/statements）, 还有更多的个人化的「经验」、「认知」和「观察」（experience / cognition / observations）。<br><br>另外，通过提问，回答和话题系统（Ontology），知乎的内容组织方式会比条目式的百科大全要灵活。 "
1293339269,周源是谁？, 互联网创业新兵，从 2008 年开始创业，2010 年 8 月开始研究 SNS，现任知乎 CEO，联合创始人。<br><br>在知乎之前，我是 Meta 搜索的创始人，产品经理。在 Meta 的创业过程中，我结识了最重要的创业伙伴李申申（现任知乎 CTO，联合创始人）。<br><br>再往前，我在《IT 经理世界》做过 3 年记者，混 CIO 和互联网圈。在记者之前，我是一名程序员。 
1293385863,通俗分类法适合知乎么？, 分众分类法（Folksonomy）不适合知乎，知乎采用的是本体论模型（ Ontology）来建立共享话题目录，两者主要区别如下：<br><ul><li>虽然都可以由个人灵活添加，但共享话题目录允许所有用户来共同编辑。<br></li><li>分众分类法是平面化的，没有层次划分，而共享话题目录是层级化的，更为严谨。<br></li><li>分众分类法擅长对细碎的特征进行描述，而共享话题目录更方便描述特定领域中的概念，及其之间的相互关系。</li></ul>通俗的说，知乎上所有的问题页面都通过话题（Topic）来组织，而非标签（tag），两者的区别类似于树干和树叶的关系。你可以通过主干到支干，然后找到某个问题，也可以反过来，追溯一个问题和其它问题，话题的关系。<br><br>所有的树干汇集起来就是知乎在信息架构上的语义层，树干和树干是相互成长的一个整体，例如，从话题「知乎」出发，可以漫游到「中国互联网」「创业」和「问答类网站」这些更大的领域，而从「创业」出发，你几乎可以找到和创业有关的所有问题页面。 
1293425353,去西藏旅游是坐飞机还是坐火车好，大概需要留出多长时间才能玩的比较尽兴？, 坐火车比较好，这主要是从身体适应的角度来考虑的，也有人说坐火车去西藏沿途的景色值得一睹，我个人觉得一般。<br><br>工作休假去西藏的时间长度基本上只有两个选择，如果选择去阿里北线，那行程估计要 18-20天；如果不去阿里北线，那时间则大为节省，10 天就够了。<br><br>另外需要注意的是，去阿里需要做充分的准备，海拔 4500 米以上，你的身体什么状况都有可能出现。 
1293455017,为什么「你可能感兴趣的人或话题」没有「不感兴趣」这个选项？, 会给大家提供「不感兴趣」的叉。<br><br>关注之后又出现是一个 bug，其实已经关注上了，但又重复出现，很快就修复。 
1293512775,知乎上现在有多少用户？, 79 个（12 月 28 日）。 
1293516550,在知乎上如何反馈意见？, 可以给问题加上「知乎产品改进」或「知乎用户反馈」的话题（Topic），这两个话题我都关注了，会第一时间处理。 
1293530139,创立知乎的过程中，最大的困难和挑战是什么？, 谈三点和我相关的：<br><br>对于我自己，最大的挑战在于工作方式的转变。在知乎之前的创业经历，我面对的是「工作白名单」──只要看到的，想到，公司相关的所有事，都会加到名单中，我几乎要参与所有的事情，了解细节，拍板。而在知乎，我的工作反了过来，我只做几件需要我全力以赴的事情：1）招募到好的成员；2）确定产品方向；3）保证公司资金良好运转；4）和投资人沟通。<br><br>对产品，知乎的信息规则很复杂，对我的产品理解力是一个挑战。<br><br>从创业公司角度，最大的困难还是在于团队建立，过去 2 个月我每天有 70% 的时间都化在招募成员上，白天联系人，看潜在候选人的资料，晚上给感觉上靠谱的人打电话。 
1293544330,当邀请用户回答时，被邀请的用户头像右下方的那个小数字代表什么？, 代表有多少人希望这位用户来回答问题。在邀请列表中，每个头像上都有一个小勾，如果你希望的某位用户正好在列表中，直接点勾就好了。 
1293546158,知乎如果出现重名用户怎么办？, 名字重复是允许的。<br><br>最直接的区分方法是个人页面的 URL，系统会给重名用户的拼音后面加上序号，第一位刘锋是 .../liu-feng ，第二位刘锋是 .../liu-feng-2 
1293551134,创业公司怎么招人？, 其实从 08 年到现在，我一直想这事能不能有点窍门，或者是实用的方法，结论是几乎没有。<br><br>我用过的大家都用的方法：<br><br><ul><li>在水木上发贴子（有点效果）<br></li><li>在蓝色理想上发贴子（无效）<br></li><li>在技术邮件组里发贴子（无效）</li><li>买 51job/智联 最便宜的服务（有点效果）</li><li>给所有可以想到的人打电话，请他们推荐（无效）<br></li><li>给所有和你讨论过创业，喝过点小酒的人打电话（无效）<br></li><li>约前同事私下谈（有效）<br></li></ul><br>我用过的大家可能没有用的方法：<br><br><ul><li>上 twitter，看 XXX 的 follower，一个一个看，看他们的 twitter，博客，Google Reader 分享，想办法搞到邮件，联系，半夜电话骚扰。<br></li><li>上豆瓣，前端后端挑几本重量级的书，去找想看，看过，正在看这本书的人，一个一个看，看他们的活动，博客，Google Reader 分享，想办法搞到邮件，联系，半夜电话骚扰。<br></li><li>找同事，问他们都看什么技术博客，想办法搞到邮件，联系，半夜电话骚扰。<br></li></ul><br>谈几点体会：<br><br><b>不要太指望周围的人</b><br><br>从社招和校园招聘筛选初级人才的方法不适合创业公司，所以创业者只能靠自己去当猎头，从你周围的人，同学，朋友，和接触过的公司员工开始。<br><br>这是事实，也是陷阱。周围的人在能力上恰好满足创业需求的可能极低，人情债又超高，对方其实很勉强，但你却臆想他完全胜任，动之以情拉入伙，结果就是撑不了多久，单纯靠交情为纽带，很快就会透支得一干二净。<br><br><b>别以为人人都想创业</b><br><br>我在招人的过程中遇到过很多很聪明的人，也遇到过很多独特的人，但到了最后一刻，他们会犹豫，把创业视为机会者，会自己鼓励自己，但问题是太多的人实际上都只看到了创业风险的一面，选择时会倾向于规避风险。<br><br>还有，即使是有能力的心有梦想者，也会有很多的实际情况，为知乎招人时，有人家里有重病患者，无法从事需要加班的工作，有人无法换城市，有人自由习惯了，有时候，他们和你通电话，只是想知道你正在做的事情。 
1293677809,知乎是否会建立「精华区」，将精彩的问答集中于版块之中，让更多的人同享？, 这是个好想法，我们会仔细思考这样做的价值，能给用户带来什么好处。 
1293694422,取消关注某个问题后，我是否还能收到别人给我的感谢、赞同和评论的通知？, 会。你取消关注后，别人对你的回答进行感谢、赞同和评论，你都依然可以收到通知。 
1293696814,小米科技是一家怎样的公司或小米的公司文化是什么？, 我只知道一点点<br><br><ul><li>招聘了不少前谷歌中国和前微软中国的工程师<br></li><li>工资很高<br></li><li>工作时间是早 8 点到晚 10 点<br></li><li>雷军经常呆到半夜<br></li></ul>
1293766349,创业者最容易犯哪些错误？,<ul><li>只把天使投资人当成了给钱的人<br></li><li>看重「以一己之力」，不懂得借船出海<br></li><li>没搞明白自己的信仰是来自于创业的项目（要解决的问题）还是创业本身（解决什么问题不重要）<br></li><li>公司内部赏罚不分明<br></li><li>以为自己很有人格魅力<br></li><li>混淆了公司最终决策者的定位，变成了所有问题的决策者<br></li><li>感觉没说完（待续）<br></li></ul>
1293766913,周源是徒步去的西藏么？, 不是，我是飞机过去，火车回来了。<br><br>徒步的话，准备以后再去一次。 
发布时间,问题,回答
1293955274,如何学习 SEM？," 无论是做百度还是 Google 的 SEM，最佳基础知识的学习教材都是 AdWords 在线课堂（ <a href=""https://link.zhihu.com/?target=http%3A//is.gd/jWmoO"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">is.gd/jWmoO</span><span class=""invisible""></span></a> ），当然百度也有在线帮助，但质量不高，不推荐做为教材使用。<br><br>学习 AdWords 在线课堂的好处是可以保证你学完后上手肯定没有问题，但水平离真实操作一家电子商务公司的 AdWords 帐号还相差十万八千里。我觉得学好 SEM 至少要半年的时间，1 个星期教材，23 个星期的实际操作。<br><br>而到实际操作阶段，仅花时间不管用的，你还必须全吃下去的是干货──靠钱把经验堆出来，只操作过 1 万元帐户和真正用 AdWords 把 100 万元花出去，所积累的经验绝不止 100 倍。要吃干货的条件是，你正呆在一家有钱做 SEM 的公司。 "
1293958386,为什么在手机应用商店中最火的是 Social apps，专门的 Social 浏览器却不受待见？, 2年前我对 Flock 有过一个认识。<br><br>08 年我去淘宝时，听到了「千人千面」的淘宝的想法，所谓千人千面，就是浏览商品的浏览模式和内容会根据浏览者的身份做专门的定制，比如我是一个爱美的小女生，那我的浏览界面会自动变成各种新潮服装的大图片浏览模式，而如果是一个摄影爱好者，淘宝就把最火的配件，镜头更主动推送给我。<br><br>这个想法的初衷，是因为淘宝网和浏览器都是通用和标准的，所以无论上淘宝的浏览目的和想购买的商品有多大的差异，查找，浏览和下单方式全都一模一样，这显然没有考虑到人和人之间需求的不同。<br><br>那时我正好在关注 Flock，从人的角度，Flock 是认真考虑了人的个性化差异的，既然大家都会使用很多网络服务，那浏览器为什么不向着这个真实的需求进化呢？于是 Flock 就这么做了。这款社会化浏览器可以绑定几乎所有的社会化身份，一启动就自己会登录 Facebook，twitter，Flickr，Gmail，其显示效果，通知功能都要比浏览器插件的体验要好很多。<br><br>当时想，淘宝不就需要一个 Flock 吗？<br><br>但是，最终淘宝没有搞出一个淘宝的 Flock，我想这里面的原因主要有二：<br><br><ol><li>因为浏览器的最主要的作用还是作为通用的表达层，功能主要集中在显示和交互上，而把业务逻辑推向浏览器，会让表达层变重，有背于常识。<br></li><li>一旦把业务逻辑真正推向浏览器，浏览器就不是浏览器了，就成了应用程序，成了 App 模式。</li></ol><br>再回来看 Social 浏览器，Flock 最大的问题在于其毫无重点，这像极了 Netvibes──个性化所有的新闻阅读，结果就是没有人用 Netvibes 读新闻。进一步，有重点的，都成 App 了。 
1294113582,Quora 严格控制提问和回答的质量，他们有编辑吗？知乎如何做到？, 高质量问答靠的不是「严格的控制」，而在于用户是否认为这是一个认真分享知识的地方，并愿意参与其中。<br><br>单从信息规则角度，没有任何一种规则可以做到百分百，Google 也做不到──即使拥有强大的排序和反垃圾算法，黑帽 SEO 至今猖獗。<br><br>知乎考虑的是如何让人和信息更有效的互动，彼此都产生价值。就需要同时考虑系统和人，而且要更多的考虑人。具体做法上，有两点很重要：1）鼓励好的行为，这包括投票，感谢，公开所有人的编辑记录（如果一直做好事，记录也是好记录，如果做坏事，那记录就会很难看）；2）禁止做恶，如果有人乱来，我们会知道，他将不会有再来第二次的机会。 
1294307758,北京的创业公司的薪资标准是多少？, 每个公司情况不同，给一个现金量在 100 万元左右的创业公司工资参考标准吧：<br><br>程序员的话，大概分布在 3000 元到10000 元。<br><br>3000 元到 5000 元：适用刚毕业的学生，初级开发人员，根据能力定具体数。<br><br>5000 元到 7000 元：适用于有一年工作经验的情况，中级开发人员。<br><br>7000 元到 10000 元：主力程序员。<br><br>以上是不提供期权和股权的情况（分配股权可能会导致工资减少） 
1294451263,为什么知乎的内容会出现在外面？, 参加内测的用户都是知乎团队以朋友的身份邀请的，所以请大家为我们保持秘密飞行的状态，同时也请各位不要将知乎上的内容整理成任何形式的评论，或者报道发布到站外去。<br><br>显而易见，tech2ipo 并没有采访过 keso，黄海均，成远和杨远騁，直接贴出来，有失水准。<br><br>内测结束，我们会发布官方的知乎用户使用条款，原则上任何形式的转载，都应该征得作者同意，不加修改，注明出处。 
1294641452,对于不善于提问的用户，知乎怎么能为他/她提供最大价值？, 一开始我们就希望先把知乎变成一个「可读」的地方，汲取高价值内容不仅带来阅读快感，同时也从他人的经验分享中学习到知识。<br><br>不善于提问和回答的话，可以尽量去关注，关注感兴趣的人，问题和话题。至少目前围绕互联网，创业和科技这几个主要话题，看看知乎上的洞见者们都提了什么问题，如何回答，一样可以学到东西。 
1294668058,知乎为什么叫知乎？," 我在「知乎这个名字是怎么来的？ 」有过回答，详见：<a href=""http://www.zhihu.com/question/19550393"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0393</span><span class=""ellipsis""></span></a><br><br>最后一层窗户纸：<br><blockquote>2010 年 9 月 13 日，下午 6 点过，我正在三里屯找晚饭果腹，一条知乎团队啦啦队长张亮的短信跳进我的手机：「如果围绕『知之』这俩字呢？」几分钟后，他的第二条短信又跳了进来：「知乎者.com？」这个名字在我的大脑里盘旋了几小时后，我给所有人都发了一条短信，上面只有两个字「知乎」。<br><br>知乎就是这么来的。</blockquote>"
1294811847,知乎是否允许多人共享一个帐号？, 不允许。这会很难分清是共用还是盗用，出现这种情况，我们会暂时回收帐号的控制权。 
1294847086,长时间出差的感觉是什么样的？, 我在《IT经理世界》工作时，2005 年到 2007 年都是「中国优秀 CIO TOP 50 评选」的面访记者，所谓面访，就是在11 月到次年 1 月，前往各地，当面和参加评选的 CIO 聊天，同时这段时间也是我长时间出差的时段──最多的时候，一个月有 21 天不在北京，在 4 个城市切换。<br><br>最主要的感觉就是「背包感」，因为一直处于地点变换的过程中，需要把自己收拾得非常的利索，行李需要高度的灵活和简化，一个中型的拖包，最多加个背包，再多就不方便了。拖包中放 2-3 套衣服（其中 1 套工作时穿），背包是随身之物，放电脑，笔记本，录音笔，充电器，纸巾等。现在回想起来，会有人生就有一个背包的感觉──你只能放最重要的东西。<br><br>陌生感几乎没有，首先我并不把酒店当成家，也不期望这是我在北京的床，酒店就是酒店；其次对于我来说，出差的时候，不用叠被子，不打扫卫生，吃饭不用涮碗，出门可以招手……这些都会迅速让我进入到一种「无打扰」的工作状态，就像酒店，饭馆，交通系统都是拼命的为你服务，你只要工作就好了，所以长时间出差时，我常会有打游戏的「通关感」。<br><br>另外，每次在反复出入机场时，看到机场繁忙景象，耳边响起熟悉的广播，又到了登机口听到「bing」的一声，我总会有恍若隔世的感觉，不知道这是一次出发还是一次回家。 
1294891592,知乎回答问题会FAIL吗?, 自动保存的草稿功能在我们的 to-do list 里，很快会改善这方面的体验。 
1294910083,你听过的最简单又最有智慧的话是什么？为什么？, 没有什么事情不能谈。 
1294987701,Instagram 如何改进以防止早期用户的流失？, 图片打开的速度非常重要，Instagram 上的图片并不是非看不可，我在使用过程中，如果有几天没去更新，我也会懒得全看一遍，如果速度再跟不上，那我宁愿彻底不看。而现在 Instagram 上的图片打开速度就是非常慢，即使是在无线网环境下体验也非常糟糕。<br><br>就因为这个原因，我已经用得很少了。<br><br>不过用户量也许不是产品改进就可以做到的，Instagram 不只是一款图片分享的工具，还是人与人之间分享图片的社区，用户增长要取决于运营的能力，比如 Instagram 把贝克汉姆或者奥巴马拉来，那用户量绝对会大幅增长，在产品上甚至不用做什么改动。 
1294994154,产品经理如何决定一个 Feature 要做到什么程度？, 除了收费的功能，互联网产品当然是「应该先出一个 beta 版再逐渐迭代」，「极致」很难定义和把握的，况且我想也没有哪家公司有无尽的资源来支撑这种做法。<br><br>具体到阶段上，我觉得在产品初期，一旦可用的功能，都应该先开放给用户使用，用户的使用体验是产品改进的重要驱动力之一。<br><br>产品的方向像是在敲锤子，一锤子下去，偏了就是偏了。而产品的具体 feature 则是像在打磨一块镜片，不至于一刀下去就磨花了，也做不到一刀就恰到好处，是一个不断调整的过程。 
