发布时间,问题,回答
1293118128,知乎是否会有话题审核制度？, 知乎必须有话题审核制度。<br><br>从愿景和价值观上，我们可以相信，「部分知识」等于「没有知识」。<br><br>但从务实、行动主义的角度看，即使是「部分知识」，但它只要是知识，就是有价值的。 
1293118398,对问答网站来说，更重要的是得到具体的答案还是得到每个人的反应？," 我认为，知乎这样一个社会化问答网站，人们提出问题所寻求的和得到的，不是事实陈述 (facts / statements), 而是个人化的「经验」、「认知」和「观察」 (experience / cognition / observations). 前者的代表是 Wikipedia。而我认为知乎这样的社会化问答网站未来是一个 Wikipedia 量级的产品，也正来源于这个比较。<br><br>因此，每个人参与的、有价值的回复，正是其魅力所在。 "
1293119656,在知乎问那些能通过搜索引擎找到答案的问题，是不是不好？,<ul><li>如果寻求的是一个<b>事实或数据</b>，那么这个问题所寻求的答案，最好是难以公开证明、需要相关背景的个人才能回答的。<br>例如——「苹果公司有多少人审核开发者上传的应用？」这个问题，没有公开资料，即使有也不一定可信，你希望的是真正了解内情的人能回答最可靠。</li></ul><br><ul><li>如果寻求的是<b>个人经验或观点</b>，那么这个问题所寻求的答案，最好是回答者的身份能给答案内容带来增值的，换言之，它最好不是一个投票类的问题，即使没有采用投票形式。<br>例如——「北京哪个搬家公司比较便宜？」这个问题，回答者的身份并不重要，那么在知乎这样的社会化问答网站上提问，很可能得不到有价值的答案。</li></ul>
1293121020,如何评价摇滚乐的好坏？, 音乐艺术，作为艺术的一种，评价好坏向来都是偏主观的，随着聆听者的个体经验、美学品味，以及时代精神（Zeitgeist）、风尚和社会的价值观而变化。<br><br>你既可以给定一堆评价指标，比如新颖的乐器、独特的演奏方法和技巧、演奏或编曲的复杂度、歌词写作水平、演唱技巧，等等。<br><br>但你也可以就用一句话来概括：真诚的，具有自我反省或社会觉醒意识的。<br><br>或者更简单一点：<b>能够打动你的</b>。<br><br>因此，很多优秀的摇滚音乐人，是不仅仅听摇滚的。对于同样保持开放性——与摇滚的反叛精神一致——的摇滚乐爱好者来说，同样可以被其他种类的好的音乐所打动，流行、嘻哈、爵士、电子，等等。<br><br>无论什么风格的流行音乐（让我们承认摇滚也是广义的流行音乐吧），他们的根源都是劳动号子，以及工间休息时调侃解闷的娱人小调。 
1293123088,Quora 没有，而你却想知乎要追加的功能/特性是什么？,<b>群邀请回答问题</b>：有些问题我想邀请一堆人回答，并且我想这也能增加病毒性传播，但现在的邀请是我只能一个一个地输入，而不是像开心/人人那样，列出我的好友，我划勾，然后群发出去。 
1293124338,为什么北京万通中心地下的汉舍餐厅墙上挂着那么多媒体人的照片？是谁拍的？, 渝乡人家的联合创始人朱溶，当年还在渝乡人家时，对渝乡人家几个新旗舰店的新颖、大胆的装修改造，很得一部分时尚媒体人士的赞赏，朱溶因此也与时任现代传播集团旗下《周末画报》北京城市版的副主编丁颖和集团北京分部摄影部主任高远结下友情。<br><br>朱溶创办汉舍后，邀请丁颖和高远夫妇为她的新餐厅装修设计参与提供创意，丁/高二人提议拍摄一系列以「人与食物」为主题的摄影作品，并将其陈列于餐厅四壁，朱溶欣然接受，委托二人操持此事。<br><br>丁颖和高远于是开始策划作品细节，认为挑选人、而非挑选食物是重点，于是他们圈出好友中表情和气质最富戏剧性的一些人，让他们提出自己喜爱的菜肴，准备之，并在高远的摄影棚内拍摄完成。<br><br>由于丁/高二人长年供职于媒体业，有很多要好的朋友都是同行，因此他们选中的人选中，也多为媒体人。但也有一些非媒体界的人士，比如高远的「义父」左小祖咒。 
1293124911,北京的好咖啡馆有哪些？, 我喜欢去的两家是——<br><ul><li>烟袋斜街 <b>海吧</b>。烟袋斜街地段很好，既可见后海湖光，又免受湖两岸酒馆密集的喧闹。夏天的午后去海吧三楼露台坐着尤其惬意，因为那里是北京少有的四周没有高楼阻挡阳光的去处。</li></ul><br><ul><li>五道口清华科技园的 <b>JF 咖啡</b>。曾是 SPR 咖啡的加盟店，后转让给付军剪艺的老板付军，遂改此名。我喜欢这家咖啡馆，不仅仅是在当时公司的楼下，因为五道口亦是咖啡馆云集之地，但这家 JF 咖啡室外座椅挨着绿地，室内可吸烟，Wi-Fi 速度很快。座位与座位之间的距离不远不近，刚刚好，即使是满座的热闹时候，也能不受影响地谈事情。当然，还有一个吸引我的地方是，他家的背景音乐是我提供的，因此换得每日一杯免费咖啡。</li></ul>
1293130982,苹果 App Store 一年的总销售额是多少？," 苹果在 App Store 和 iBookstore 上的收入从来不单独列出，都是和 iTunes Music Store 放在一起汇报。根据苹果提交给美国证券交易委员会（SEC）的10-K 文件，苹果 iTunes Store 业务（包括 Music, App 和 iBooks）在截至 2010 年 9 月 25 日的 2010 财年的总销售额是 41 亿美元，占当年全公司 652.25 亿美元总销售额的 6.3%。 "
1293249414,2010 年你看过的最好的电影是什么？,<ul><li>Inception</li><li>Toy Story 3</li><li>让子弹飞<br></li></ul>
1293292766,为什么早期知乎中的默认头像是一个很痛苦的表情？, 作为一个吸烟者，我对知乎的默认头像充满了亲切感。 
1293296589,macOS 上有哪些值得推荐的常用软件？, 同意陈青，没有什么软件是必装的，因人而异。下面列出的只是我一些个人推荐，简洁好用是我的一个重要偏好。<br><br>我在 Mac 上每天都会使用的——<br><ul><li><b>Chrome for Mac</b>：浏览器。无需多言。</li><li><b>MPlayerX</b>：视频播放。比 VLC 简洁，播放操作更好，多格式支持也很出色。</li><li><b>Dropbox</b> / <b>SugarSync</b>：文件同步。前者更优，后者功能不弱、只是用户体验稍逊。</li><li><b>QIM (IMKQIM)</b>：中文输入法。带搜狗拼音词库。</li><li><b>BetterZip</b>：解压缩工具。RAR 支持需要另下载官方命令行工具。</li><li><b>Gmail Notifr</b>：Gmail 邮件通知。支持多邮箱，包括 Google Apps 邮箱。</li><li><b>TunesArt</b>：在桌面显示 iTunes 正在播放的音乐专辑封面，以及曲名、专辑名、表演者等信息。</li></ul>使用频率略低一些的——<br><ul><li><b>Adium</b>：即时通讯。多协议，可定制外观。</li><li><b>Folx</b>：下载工具。</li><li><b>uTorrent</b>：BT 工具。</li><li><b>Cyberduck</b>：FTP 工具。更重要的是，还支持 Amazon S3。</li><li><b>AppZapper</b>：软件卸载工具。</li></ul>
1293297242,Quora 如何走出 IT 人社区的圈子？, 在稳固住高质量的 IT 社区用户的同时，逐步引入一小部分非 IT 人士，看看社区与他们之间的互动，以及他们的反馈，通过反复迭代来找到合适的路径。关雅荻、Talich 和张悦悦就是一个很好的开始，他们会自然拓展这里的话题，并且我们也鼓励其他种子用户积极讨论非 IT 话题。<br><br>事实上，目前知乎话题种类的多样性还是超出我的预料的。 
1293300443,iPad 拆箱后无法连接 iTunes 该怎么办？," 尝试下载最新版本的 iTunes。链接:  <a href=""https://link.zhihu.com/?target=http%3A//www.itunes.com/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">itunes.com/</span><span class=""invisible""></span></a> "
1293302165,2011 年的移动互联网趋势是什么？, 移动互联网有一些内在属性是全新的，是传统 PC 互联网难以实现或难以放大其价值的，因此也是未来革命的星火燃点。我认为，其中能够促生变革的最重要三个新属性是——<br><br><ul><li><b>本地化（Local）</b></li></ul>　　手机天然能集成获取和呈现用户地理信息的功能。近年来在国内外都大热的 Groupon 模式的团购网站、Craiglist/百姓网/58同城等分类广告网站、Yelp/大众点评等本地生活类网站，已纷纷证明了本地商务/本地消费市场的庞大潜力。传统互联网和传统无线互联网上的主流应用，都可因为本地化属性变成新的东西。<br>　　例子：Loopt 将本地化引入了交友。大众点评手机版的实用性和使用频率比网页版更高。<br><br><ul><li><b>社会化（Social）</b></li></ul>　　可以简单粗暴地这么理解：一切移动的产品都必然是社会化的，一切社会化的产品都必然是移动的。社会化将成为未来移动互联网产品的重要组成要素，并且会因此催生出一些新兴的势力。<br>　　例子：Instagram 和 Flickr 手机版的区别就在于社会化。Yammer 将企业内部沟通进行了社会化改造，它不仅仅是「企业微博」那么简单。<br><br><ul><li><b>实时（Real-time）</b></li></ul>　　Twitter/微博类的互联网产品，本身就是实时互联网（Real-time Web）的雏形。而它们在手机上的病毒式蔓延也正是用户选择的结果，而非原因。互联网上产生的大量信息将不再仅仅汇总于一个静态页面，而会更多以 feed 形态实时传输，再在不同的产品形态中进行呈现和交互。<br>　　例子：IM 原本不是新鲜概念，但 Kik 将实时做到了极致，从而引发大规模流行。Path 设计简单，但对 Life Stream 的呈现因实时化而更加突出。 
1293302749,知识密集型企业内最好的信息管理和分享平台是什么？, 国外已经有不少产品试图满足这些需求了——<br><ul><li>Yammer</li><li>Flowr</li><li>CubeTree</li><li>Socialcast</li><li>MangoSpring</li><li>Braintrust</li></ul>
1293303488,知乎与百度知道的区别是什么？,<b>百度知道——</b><br><ol><li>你不知道回答者的可信度，从而也降低了答案的可靠度。<br></li><li>非实名，用户难以有的放矢地提问和回答，答案的效用和准确度极低。</li><li>Ontology 差，难以形成系统的知识梳理和获取。</li><li>弱社会化，缺乏互动。<br></li><li>容易产生垃圾答案。<br></li></ol><br><b>知乎——</b><br><ol><li>知道回答者是谁，并可因此判断其回答的可信度。</li><li>准实名（用户即便使用化名也会积极维护自己的 ID 信用），用户可以有针对性地提问和回答，答案的效用、准确度都更高。</li><li>Ontology 强，用户容易在此建立起成体系的知识和经验积累。</li><li>社会化属性强，用户之间的互动是用户保持活跃的重要因素。</li><li>垃圾答案少，因为通过「投票」、「没有帮助」、「修改」等功能，每个用户都有规范和管理的权限，会出现 Wikipedia 那样的「良币驱逐劣币」的自发机制。</li></ol>
1293304155,看电影时你最关注什么？,<ul><li>戏剧冲突。</li><li>叙述的张力。</li><li>故事的独特讲述方式。</li><li>从普通问题出发，对关于人的问题的终极探索。</li></ul>
