发布时间,问题,回答
1293882744,如何学习字体及相关知识？, 关于英文字体设计，或许可以看一下 Gary Hustwit 拍摄纪录片《Helvetica》。 
1293948080,为什么 iPhone 4 的闹钟在 2011 年 1 月 1 日这天会失效？据传失效会持续到1 月 3 恢复正常，有特别原因么？, 目前已知的一些信息包括：<br><br><ul><li>这个问题与 iOS 的网络时间协议（NTP，Network Time Protocol）漏洞有关，NTP 是用来同步计算机时间的一种协议。苹果之前就已经注意到这个漏洞，并且试图在 iOS 4.2.1 修复这个漏洞，但并没有成功修复。</li><li>这个漏洞会在 1 月 1~2 日之间影响到「单次闹钟」（比如，设置为明天上午 7:00 闹钟），到时闹钟就不会工作。</li><li>如果你设置的是「重复闹钟」（比如，周一到周五每天上午 7:00 闹钟），就不会受到影响。</li><li>这一问题的影响范围，包括所有安装了最新 iOS 4.2.1 的 iOS 设备，不只限于 iPhone 4 。</li><li>苹果发言人向 Macworld 证实，到 1 月 3 日，受到影响的闹钟都将能够正常工作。</li><li>有些测试者还发现，要模拟上述的问题，必须让 iPhone 实际从 2010 年 12 月 31 日晚 11:59 走到 2011 年 1 月 1 日 00:00分，如果直接将 iPhone 从 2010 年拨到 2011 年则不会出现此问题。</li></ul>
1293986804,知乎什么时候能够邀请人？,"<ul><li>直接通过知乎邀请其他朋友，可能要等到产品正式公布上线之后。</li><li>如果现在你有朋友想加入，可以先通过邮件和我们联系。</li></ul><br>知乎微博客地址：<a href=""https://link.zhihu.com/?target=http%3A//t.sina.com.cn/wenzhihu"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">t.sina.com.cn/wenzhihu</span><span class=""invisible""></span></a><br>或者在线申请入口：<a href=""https://link.zhihu.com/?target=http%3A//sinaurl.cn/hqmX8o"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">sinaurl.cn/hqmX8o</span><span class=""invisible""></span></a> "
1294035229,乔布斯的大学生活是怎样度过的？," 结合《乔布斯复出记》和乔布斯在斯坦福的演讲，得到一些信息：<br><br><ul><li>乔布斯在 1972 年就读于里德学院（Reed College），位于俄勒冈州的波特兰(Portland, Oregon)的一所优秀且昂贵的私立自由艺术学院。<br></li><li>乔布斯在演讲中说，自己在里德学院读了 6 个月（一学期），但在学校呆了一年半。但根据《乔布斯复出记》记载，他可能没有交过学费：<br></li></ul><blockquote>乔布斯在里德学院的好友丹·科特基（Dan Kottke）说，史蒂夫的高等教育是用嘴巴讨来的。1972 年 10 月，里德学院刚开学一个月，乔布斯就出局了。他选了课，搬进宿舍，但从来没有交过辅导费、住宿费和学费。几千美元的账单已经过期 30 多天，乔布斯没有钱。里德学院因此不再承认他是学校的学生。但这一个月里，乔布斯和学生会主席杰克·杜德曼（Jack Dudman）建立了良好的关系。他说服杰克，让他旁听学校的课程。里德学院有很多空的宿舍很多，乔布斯可以免费住。总之，乔布斯想办法在里德学院留了下来。（P.17）</blockquote><ul><li>据《乔布斯复出记》描述，乔布斯大学时有时整学期只吃水果、谷物和免费的素食。他会步行到当地的哈利克利士教堂（Hare Krishna temple）和共享村（All-One Farm commune）吃免费的素食。<br></li><li>乔布斯离开学校后仍然很喜欢里德学院，他给自己的儿子取名为 Reed Paul Jobs ，Reed 就是来自里德学院的名字。<br></li><li>尽管乔布斯没有大学毕业，但他很重视大学学历。他招聘员工时比较重视他们的学历。他送自己的子女去最好的学校。</li></ul><br>以下是摘自乔布斯在斯坦福的演讲中关于大学生活的部分：<br><blockquote>我在里德学院读了六个月之后就退学了，但是在十八个月以后——我真正的作出退学决定之前，我还经常去学校。我为什么要退学呢？<br><br>故事从我出生的时候讲起。我的亲生母亲是一个年轻的，没有结婚的大学毕业生。她决定让别人收养我，她十分想让我被大学毕业生收养。但是我亲生母亲随后发现，我的养母从来没有上过大学，我的养父甚至从没有读过高中。她拒绝签这个收养合同。只是在几个月以后，我的养父母答应她一定要让我上大学，那个时候她才同意。<br><br>十七岁那年，我愚蠢的选择了一所几乎和你们斯坦福大学一样贵的学校。我父母还处于蓝领阶层，他们几乎把所有积蓄都花在了我的学费上面。在六个月后，我已经看不到其中的价值所在。但是在这里，我几乎花光了我父母这一辈子的所有积蓄。所以我决定要退学。不能否认，我当时确实非常的害怕，但是现在回头看看，那的确是我这一生中最棒的一个决定。<br><br>但是这并不是那么罗曼蒂克。我失去了我的宿舍，所以我只能在朋友房间的地板上面睡觉，我去捡 5 美分的可乐瓶子，仅仅为了填饱肚子，在星期天的晚上，我需要走七英里的路程，穿过这个城市，只是为了能吃上饭——这个星期唯一一顿好一点的饭。但是我喜欢这样。我跟着我的直觉和好奇心走，遇到的很多东西，此后被证明是无价之宝。让我给你们举一个例子吧：<br><br>里德学院在那时提供也许是全美最好的美术字课程。在这个大学里面的每个海报，每个抽屉的标签上面全都是漂亮的美术字。我决定去学学怎样写出漂亮的美术字。<br><br>当时看起来这些东西在我的生命中，好像都没有什么实际应用的可能。但是十年之后，当我们在设计第一台 Macintosh 电脑的时候，就不是那样了。我把当时我学的那些东西全都设计进了 Mac 。那是第一台使用了漂亮的印刷字体的电脑。如果我当时没有退学，就不会有机会去参加这个我感兴趣的美术字课程，Mac 就不会有这么多丰富的字体，以及赏心悦目的字体间距。那么现在个人电脑就不会有现在这么美妙的字型了。当然我在大学的时候，还不可能把从前的点点滴滴串连起来，但是当我十年后回顾这一切的时候，真的豁然开朗了。<br><br>你在向前展望的时候不可能将这些片断串连起来；你只能在回顾的时候将点点滴滴串连起来。所以你必须相信这些片断会在你未来的某一天串连起来。你必须要相信某些东西：你的勇气、目的、生命、因缘。这个过程从来没有令我失望，只是让我的生命更加地与众不同而已。</blockquote>"
1294042485,RSS Reader 还有希望吗？, 传统 RSS 阅读器是一个很有效率但又比较难大众化的产品。<br><br><ol><li>Google Reader 我仍然会继续用，应该有很多人也会继续用下去，但这部分用户多是非常有意识地在获取消息、阅读新闻或博客，用户量不大。<br></li><li>微博等社会化媒体一定程度上削弱 RSS 阅读器，我发现自己上 Google Reader 的时间和频率有所下降。</li><li>Google Reader 对我来说，已经很好用。所以，对于那些模仿 Google Reader 的 RSS 产品，已经没有太大空间和价值。<br></li><li>但移动设备、手机阅读的流行，仍然为「阅读器」留有机会。Instapaper 、Flipboard 和 Reeder 都是很好的例子，甚至电子书阅读器都是潜在的空间。</li></ol><br>我觉得，如果做相关的产品，要把握了一个核心需求是，如何服务好「电子阅读」的用户，从小处出发，做好产品细节体验，不要太把自己限制在传统 RSS 上面。 
1294047518,Dropbox 在中国可被复制吗？," 《国内云存储领域的七雄争霸》<a href=""https://link.zhihu.com/?target=http%3A//www.ifanr.com/25028"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">ifanr.com/25028</span><span class=""invisible""></span></a><br><br>这篇文章对国内做云存储的厂商有比较详细的介绍分析。<br>作者有一个关于云存储、同步方面的专业博客：「同步控」<a href=""https://link.zhihu.com/?target=http%3A//www.syncoo.com/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">syncoo.com/</span><span class=""invisible""></span></a> "
1294048061,为什么 Dropbox 决定提供免费的 2GB 服务计划，而不是有限时间的「免费试用」？," Dropbox 创始人 Drew Houston 在一份演讲 PPT 中写到：<br><b></b><br><b>Hook the user first, educate over time(tours, tip emails, etc.)  </b><br><br><b></b>（PPT 背景是一条上钩的鱼）先把用户钩住，才有时间慢慢教育用户。 "
1294071386,Facebook 收购过哪些公司？," 截至目前（2011 年 1 月 3 日）Facebook 已收购的公司包括：<br><br><ul><li><b>Parakey </b></li></ul>2007 年 7 月 20 日，Facebook 收购了 Parakey 。 Parakey 由原 Firefox 创始人之一 Blake Ross 和 Joe Hewitt 创建，据称是一个基于网页的 WebOS 操作系统。<br><a href=""https://link.zhihu.com/?target=http%3A//en.wikipedia.org/wiki/Parakey"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">en.wikipedia.org/wiki/P</span><span class=""invisible"">arakey</span><span class=""ellipsis""></span></a><br><br><ul><li><b>FriendFeed</b></li></ul>2009 年 08 月 11 日，Facebook 收购了社交聚合网站 FriendFeed 。<br><a href=""https://link.zhihu.com/?target=http%3A//tech.sina.com.cn/focus/FBbuyFF/index.shtml"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">tech.sina.com.cn/focus/</span><span class=""invisible"">FBbuyFF/index.shtml</span><span class=""ellipsis""></span></a><br><br><ul><li><b>Octazen Solutions</b></li></ul>2010 年 2 月中旬，Facebook 收购了位于马来西亚的邮件系统开发商 Octazen Solutions 。<a href=""https://link.zhihu.com/?target=http%3A//tech.qq.com/a/20100220/000082.htm"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">tech.qq.com/a/20100220/</span><span class=""invisible"">000082.htm</span><span class=""ellipsis""></span></a><br><br><ul><li><b>Divvyshot</b></li></ul>2010 年 4 月初，Facebook 收购了照片分享网站 Divvyshot 。<a href=""https://link.zhihu.com/?target=http%3A//tech.qq.com/a/20100403/000025.htm"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">tech.qq.com/a/20100403/</span><span class=""invisible"">000025.htm</span><span class=""ellipsis""></span></a><br><br><ul><li><b>Nextstop</b></li></ul>2010 年 7 月 9 日，Facebook 收购了社交旅游推荐网站 NextStop。<br><a href=""https://link.zhihu.com/?target=http%3A//tech.sina.com.cn/i/2010-07-09/08504406695.shtml"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">tech.sina.com.cn/i/2010</span><span class=""invisible"">-07-09/08504406695.shtml</span><span class=""ellipsis""></span></a><br><br><ul><li><b>Hot Potato</b></li></ul>2010 年 8 月 21 日，Facebook 收购了 LBS 社交活动网站 Hot Potato 。<br><a href=""https://link.zhihu.com/?target=http%3A//tech.qq.com/a/20100821/000074.htm"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">tech.qq.com/a/20100821/</span><span class=""invisible"">000074.htm</span><span class=""ellipsis""></span></a><br><br><ul><li><b><a href=""https://link.zhihu.com/?target=http%3A//Drop.io"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">Drop.io</span><span class=""invisible""></span></a></b></li></ul>2010 年 10 月 30 日，Facebook 收购了在线文件分享服务公司 <a href=""https://link.zhihu.com/?target=http%3A//Drop.io"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">Drop.io</span><span class=""invisible""></span></a> 。<br><a href=""https://link.zhihu.com/?target=http%3A//tech.sina.com.cn/i/2010-10-30/13124809077.shtml"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">tech.sina.com.cn/i/2010</span><span class=""invisible"">-10-30/13124809077.shtml</span><span class=""ellipsis""></span></a><br><br>仅 2010 年，Facebook 收购了 5 家初创型网络服务公司。 "
1294117115,在知乎粘帖复制自己在外面写过但未留下署名的回答又该怎么办？,<ul><li>推荐使用「摘要 + 链接」的方式，你可以引用在其他地方的文字中最重要的部分，然后其余部分通过链接指向原网页。<br></li></ul>
1294126639,Facebook 以 500 亿美元估值再次融资 5 亿美元之后，接下来最可能的动作是什么？," 2010 年 Facebook 的收购步伐显著加快，共收购了 5 家创业公司。所以，接下来仍不排除 Facebook 进行重要收购的可能。<br><br>Facebook 的收购，主要有两个方向：1）获取创新产品，丰富和完善 Facebook 产品；2）获取优秀人才和技术。详见：Facebook 收购过哪些公司？还可能会收购哪些公司？<br><a href=""http://www.zhihu.com/question/19552469"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">2469</span><span class=""ellipsis""></span></a><br><br>李开复在微博（<a href=""https://link.zhihu.com/?target=http%3A//t.qq.com/p/t/5031013681664"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">t.qq.com/p/t/5031013681</span><span class=""invisible"">664</span><span class=""ellipsis""></span></a>）上分析说：<br><blockquote>高盛用 500 亿美元的估值向 Facebook 投资了 4.5 亿美元。Facebook 已经盈利再加上这笔资金，看来 Facebook 会继续推延它的IPO，以避免太早上市带来的种种问题，和保持独立的运营和和迅速的决策。</blockquote>"
1294133557,Facebook 董事会成员有哪些人？,"<b>当前董事会成员：</b><b></b><b><br></b><ul><li>马克·扎克伯格（Mark Zuckerberg），Facebook 创始人、CEO 和董事会主席。</li></ul><ul><li>马克·安德里森（Macr Andreessen），网景（Netscape）创始人，安德里森霍罗威茨（Andreessen Horowitz）风险投资基金合伙人。2008 年 6 月 30 日加入 Facebook 董事会。<a href=""https://link.zhihu.com/?target=http%3A//www.facebook.com/press/releases.php"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">facebook.com/press/rele</span><span class=""invisible"">ases.php</span><span class=""ellipsis""></span></a></li></ul><i></i><i><br></i>马克·扎克伯格拥有 3 个普通股董事席位，其中一个空缺，另外两个分别由马克·扎克伯格自己和马克·安德里森持有。<br><br><ul><li>彼得·泰尔（Peter Thiel），PayPal 创始人和前 CEO ，对冲基金 Clarium Capital 主席和风险投资基金The Founders Fund 合伙人。2004 年 9 月，彼得·泰尔向 Facebook 提供约五十万美金的天使投资（约占当时 Facebook 10% 的股份），加入 Facebook 董事会。</li></ul><ul><li>吉姆·布雷耶（Jim Breyer），风险投资公司 Accel Partners 合伙人。2005 年 4 月 Accel Partners 向 Facebook 投资 1270 万美元，吉姆·布雷耶加入 Facebook 董事会。</li></ul><br><i>吉姆·布雷耶和彼得·泰尔在 Facebook 董事会还各有一个优先股席位。</i><br><i></i><br><ul><li>戴维·蔡（David Sze），风险投资公司 Greylock Partners 合伙人。2006 年 4 月 Greylock Partners 和 Meritech Capital Partners 联合向 Facebook 投资 2750 万美元，戴维·斯泽加入 Facebook 董事会。</li></ul><ul><li>保罗·马德拉（Paul Madera），风险投资公司 Meritech Capital Partners 创始人。2006 年 4 月保罗·马德拉加入 Facebook 董事会。</li></ul><i></i><i><br></i>戴维·斯泽和保罗·马德拉在 Facebook 董事会只拥有无投票权的观察员席位。<br><br><b>已离开的：</b><br><ul><li>肖恩·帕克 （Sean Parker），Facebook 前总裁，因涉及一起吸毒案被捕。2005 年 Facebook 投资者 Accel Partners 的吉姆·布雷耶将肖恩·帕克「请出」Facebook 董事会。<br></li></ul>"
1294137451,如何提高演讲能力？, 据巴菲特说，他年轻时参加过卡耐基演讲训练班，效果明显。所以，或许可以看一看《卡耐基演讲与口才》这本书。然后就是多加练习实践了。<br><br>（不过，我自己还没练过。） 
1294156853,为什么现在知乎自动删除答案中的空格了？是 bug 吗？, 是的，今晚更新的一个版本造成的 bug ，尽快解决。<br><br><b>更新：</b>这个问题已经修复。 
1294160389,在外就餐，如何有效控制食欲？, 我以前会在无意识的状态下吃很多零食，吃完了又感到不舒服，心想“为什么要吃那么多？”。最近，开始有意识地克制食欲。饭吃到七分饱就停下，不要等自己感到吃撑了，才停下。有蔬菜和肉类可选的情况下，尽量选择蔬菜食物。<br><br>顺带说一个乔布斯年轻时的故事。乔布斯很早（20 岁之前）就素食了，吃东西也很挑剔，水果、谷物和蔬菜（据说很喜欢胡萝卜汁），偶尔吃鱼。有一次他受邀到别人家吃饭，还来了其他一些客人，主人特意准备了丰盛了全素食晚宴。乔布斯非常喜欢，胃口大开，也吃了很多。但吃完饭之后，乔布斯意识到自己吃的太多了。于是他强迫自己将吃下的食物呕吐出来……虽然主人感到这非常不礼貌。<br><br>这可能跟乔布斯年轻时所受的佛教熏陶有关，对食物能做到「享受」但「不贪恋」就好。 
1294195838,知乎的「你可能感兴趣的」推荐名单无法更新？," 这个地方需要改进，我们已经意识到了。请看这里：为什么「你可能感兴趣的人或话题」没有「不感兴趣」这个选项？ <a href=""http://www.zhihu.com/question/19551521"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">1521</span><span class=""ellipsis""></span></a><br><br>谢谢你的意见，我们尽快改进 :) "
1294196504,大家平时怎么维护身体？, 每天上班路上都要步行 25 分钟左右，分成两段，一段 15 分钟，一段 10 分钟（不是刻意安排的结果，只要坐公交就必须要走），所以，即便冬天每天到办公室身上都会出点汗。<br><br>每天只要上下班，一天就快步走 50 分钟，这是目前的锻炼。 
1294226579,Chrome 网络应用商店销量不佳的原因在哪里呢？你会付费购买里面的应用吗？, 我也很好奇，我个人的付费意愿非常低。粗略地考虑了一下，人们的付费意愿可能跟以下几个因素或习惯有关：<br><br><ul><li>吸引力</li></ul>吸引力的高低和三个因素有关：1）需求的强弱（产品对我的价值）；2）稀缺性与否；3）价格的高低。<br><br>对用户的价值越高，需求越强烈，还要考虑到是否有可替代产品，以及价格水平。目前 Chrome Web  Store 里面付费的应用程序对我的吸引力不够强烈。试想一下，如果有一个 Web 应用可以简单快速地解决翻墙问题，且价格合理，我可能就有付费意愿。<br><br><ul><li>本地应用 ＞  在线应用</li></ul>这个尚未验证，只是猜想。但从软件付费习惯或心理来说，目前似乎人们更喜欢花钱下载一个本地可见的应用程序文件（尽快这在中国也很不容易），比如 iPhone 的应用程序，或者即将开业的 Mac App Store 的软件。<br><br>两者的区别可能微乎其微，但 web 应用本身就还需要时间让更多消费者熟悉，之前很多用户已经习惯了免费的 Chrome 扩展程序。<br><br><ul><li>移动应用 ＞  桌面应用</li></ul>这个也尚未验证。但主要是移动应用市场还在发展初期，优质应用比较稀缺。相反，PC 应用市场已经很成熟，竞争激烈，可替代产品众多。这也意味着 Chrome Web Store 里的付费应用能为我提供独有价值的几率在降低。<br><br><ul><li>Google 品牌</li></ul>不知这是否是影响因素，人们已经习惯享用 Google 提供的免费且高价值的产品，导致付费意愿也降低。苹果则相反，什么服务和产品都要收费，人们也习惯了。 
1294235418,如何在知乎的答案编辑器中粘贴不带有特殊格式或样式的文字？, 谢谢你的反馈，这里我们还要改进。目前建议：先清除文字格式后发布。<br><br>在文字编辑器的顶栏右侧有一个「清除格式」工具（就大写字母 T 右下角有个小红叉那个），全选内容之后，点击它，可以清除文字现有的格式或样式，之后再发布。<br><br>如果你使用 Chrome 浏览器，可以用快捷键「粘贴并匹配样式」：<br><br><ul><li>Mac 版：Command + Shift + Option + V<br></li><li>Windows 版：Control + Shift + V<br></li></ul>
1294244216,中国最适合居住的地方有哪里？, 杭州很好。周边的几个县环境也不错，比如，浙江安吉，全国生态县，距离杭州一个小时左右的车程。<br><br>总的来说，我偏向自己家乡“江南”地区（我家在皖南农村），鱼米之乡，有山有水，四季分明。没有特别恶劣的气候，也没有地震、台风等强烈的自然灾害。环境、交通、人文，各方面都不错，适合养老。呵呵~ 
1294286813,Skype for iPhone 和 FaceTime 哪一个软件在相同网络环境的视频聊天效果更好？," 财富中文网有一个报道《iPhone 版 Skype vs. FaceTime》<br><a href=""https://link.zhihu.com/?target=http%3A//www.fortunechina.com/business/c/2011-01/06/content_46681.htm"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">fortunechina.com/busine</span><span class=""invisible"">ss/c/2011-01/06/content_46681.htm</span><span class=""ellipsis""></span></a><br><blockquote>Skype 的用户界面没有苹果的友好，在易用性方面 FaceTime 还是胜出一筹。但是Skype 的用户基数超过 5.6 亿，你能通过它在任何能打语音电话的地方实现视频通话，在这点上，Skype 优势巨大。</blockquote>Skype for iPhone 改进包括：<br><br><ul><li>支持 WiFi 和 3G 网络的 Skype 到 Skype 视频通话*。</li></ul><ul><li>支持呼叫 Skype 桌面用户（Mac OS X和Windows系统）和 iPhone 用户。</li><li>支持 iPhone 4、iPhone 3GS 和 iPod touch 4 代双向视频通话。</li><li><u>支持 iPad 和 iPod touch 3 代视频受话，这些设备没有摄像头，不能发送己方视频。</u></li><li>支持纵屏和横屏显示视频通话。</li><li>Skype 视频通话需要 iOS 4.0 或以上系统支持。</li><li>可能需要支付额外的数据费用<br></li></ul>"
1294291792,腾讯朋友如何让用户产生兴奋感？, 腾讯朋友的特色在于，我现在可以了解到「我的 QQ 好友的 QQ 好友是哪些人」了。相当于，对 QQ 好友的关系链做了更深一步的挖掘。<br><br>87 年的典型的小白鼠：<br><ul><li>我上人人网频率很高，这是产品体验差但需求强，让人不舒服的是，人人网过多的盈利考虑损害了用户体验。<br></li><li>开心网似乎对 86 之后的用户群之间没啥吸引力，我不用。<br></li><li>刚刚花 20 分钟开始用腾讯朋友，这一点时间从朋友那里得到的「激励」要远远超过人人网。腾讯最强的还是 QQ 沉淀下来的用户关系——腾讯没有直接转移 QQ 好友，但申请朋友的行为几乎可以在瞬间得到反馈，这些朋友们都是在线。我后面肯定会经常用腾讯朋友这个产品，对于我这个年龄段的用户，腾讯朋友还是很有吸引力，虽然我近一年都很少上 QQ 客户端了。</li></ul><br>腾讯朋友甚至不需要特殊的兴奋点，只要给用户一个能和熟悉的朋友在一起交流的「正常、好用」的中国的 Facebook，对我来说就很好了。而且腾讯没有那么强的盈利压力，可以把产品做到很好。这样看来，我还是很看好腾讯朋友这个产品的未来的。 
1294365808,四代 iPod touch 和 iPhone 4 的屏幕在技术指标和实际观感上有什么区别？, 我个人的感觉是，普通用户可能注意不到两者的细微差别。 
1294370971,Mac App Store 上有什么好的软件或游戏推荐？,<ul><li>MindNode for Mac，我个人最喜欢的思维导图软件，免费，还有一个付费的 MindNode Pro 。<br></li><li>SketchBook Express ，很不错的绘图或涂鸦软件，免费，还有一个付费的 Sketch Book Pro。<br></li></ul>
1294371753,知乎用户有人使用投票中的「反对」功能（向下箭头）吗？, 点击「投反对票」按钮（向下箭头），不会显示投票人的姓名，也不会通知该答案的作者。<br><br>但这次点击会被记录到该答案的排序值，会影响该答案在网页中的显示位置，是更接近顶部还是底部。 
1294373837,你喜欢星巴克的新 logo 吗？为什么？, 从补充说明中的星巴克 logo 演变照片，个人的感觉是：<br><br><ul><li>星巴克已经换了 4 次 logo ，她喜欢变化；<br></li><li>但每次换 logo又不是彻底的放弃过去，星巴克经典的双尾海神形象总是保留下来；</li><li>星巴克每次更换 logo 都比前一次更加简洁，这是 logo 设计的一个趋势；<br></li><li>这一次星巴克在 logo 中省略了「Starbucks Coffee」字样，我觉得是自信的表现。<br></li></ul><br>虽然有人觉得最新的 logo 没有以前的经典，不过我个人还是很喜欢的。：） 
1294394115,为什么最近我的首页里关于游戏的话题越来越多了？, 这是正常的，因为我们最近讨论游戏的问题比较多。 
1294412285,为什么知乎鼓励让问题减少个人特色？, 首先，我们替知乎未来的用户感谢你。<br><br>你可能会认为：我在知乎上提了一个问题，只要能得到好的解答，按照我自己喜欢的方式来提问有何不可呢？<br><br>其实，在你提出问题的同时，也是在帮助很多有同样疑问的人道出了这个问题。如果有人给你提的问题一个很好的答案，他不仅是在帮助你，也是在帮助未来可能会遇到同样问题的人。<br><br>你可能注意到了，同一个问题，不同的问法，或者不同的人问，都会得到不同的答案。<br>这恰恰是我们为什么要减少问题的个人特色的原因，因为我们希望，最终针对某一个问题的高质量的答案能够尽可能地集中，而不是分散到很多个页面——事实上，互联网上有很多的高质量的内容，但它们散落在各种地方，被庞杂的互联网所稀释。<br><br>试想一下，如果同样的问题，大家都去问，最终答案就会散落在很多不同的页面。以后当有人遇到同样问题了，他就要到很多个页面去查找，去判断哪一个答案更好。这与当前用搜索引擎查找信息并没有区别。<br><br>这也是为什么我们：<br><br><ul><li>不强调是谁提出的问题——因为给问题提供高质量回答的人才更应该被记住。<br></li><li>允许用户修改知乎上的问题——因为我们希望有机会让一个问题变得对尽可能多的人都通用、易识别。<br></li></ul><br>不过，每个问题下方都有一个「补充说明」，你可以在其中添加有个人特色的介绍或对问题的描述。<br><br>-<br>最后补充一下，以上是针对「问题」本身。<br>关于「回答」，因为每个人的知识、经历和体验都各有不同，所以，你可以按照自己喜欢的方式去回答。回答的乐趣在于，可以帮助他人。 
1294419437,PlayBook 与 iPad 2 的各自的优点和缺憾是什么？, 先不做判断，对比一些差异<br><br><ul><li>硬件配置和价格</li></ul>PlayBook ，7 英寸显示屏（1024×600，16 : 9 宽屏），采用 Cortex A9 构架 1GHz 双核处理器，1GB 内存，双摄像头（后 500 万像素，前 300 万像素），重量 0.9 磅。<br>（目前没有 3G 版）支持 Wi-Fi ， 8 /16 /32 GB 三个版售价分别为 399、499 和 599 美元。<br><br>第二代 iPad 还没有出来，所以先参考下第一代 iPad ：当前 9 英寸 1024×768（如果第二代 iPad 用视网膜 Retina 显示屏，可能就秒杀对方了），A4 处理器 256MB 内存（第二代 iPad 内存应该会翻倍，处理器性能可能会提高），iPad 很可能会增加 FaceTime 双摄像头。重量 1.5 磅（确实重了一点，看看新款有没有改善）。<br>Wi-Fi 版 16GB 和 32 GB 售价 499 美元和 599 美元，两者价格差异不大。<br><br><ul><li>操作系统</li></ul>PlayBook 采用 QNX 开发的独立操作系统，基于 Neutrino 内核，支持 POSIX OS，SMP、Open GL、BlackBerry 6、WebKit、Java 和 Adobe Flash 等各种标准。据说支持类似 Widget 的悬浮窗口。 <br><br>iPad  采用 iOS 4 操作系统，不用多介绍了。<br><br><ul><li>电池续航时间</li></ul>目前还不清楚，但 PlayBook 的高配置、支持多种标准，例如 Flash 并不利于电池续航时间。而且由于体积更小，电池容量可能不大。<br><br><ul><li>应用程序</li></ul>PlayBook 的特色在于支持黑莓自家的商用邮件功能。<br><br>iPad 持续的强吸引力可能还是来自 iOS 流畅的使用体验和 App Store 中丰富的应用程序和游戏。 
1294473310,知乎对 IE 的支持程度如何？, 推荐使用 Chrome 、Firefox 、Safari 或 IE 8 浏览器。 
